NUMERO_REGISTRO,NOMBRE_PRODUCTO,PRINCIPIO_ACTIVO,FORMA_FARMACEUTICA,CONCENTRACION,LABORATORIO,VIA_ADMINISTRACION,REQUIERE_RECETA
F-20001,TAPSIN FORTE COMPRIMIDOS,PARACETAMOL,COMPRIMIDO,500 MG,LABORATORIO CHILE S.A.,ORAL,NO
F-20001B,PANADOL 500MG COMPRIMIDOS,PARACETAMOL,COMPRIMIDO,500 MG,GLAXOSMITHKLINE,ORAL,NO
F-20001C,KITADOL PARACETAMOL 500MG COMPRIMIDOS,PARACETAMOL,COMPRIMIDO,500 MG,ANDROMACO,ORAL,NO
F-20001D,PARACETAMOL 500MG COMPRIMIDOS,PARACETAMOL,COMPRIMIDO,500 MG,LABORATORIO CHILE S.A.,ORAL,NO
F-20001E,XUMADOL PARACETAMOL 1000MG COMPRIMIDOS,PARACETAMOL,COMPRIMIDO,1000 MG,FERRER,ORAL,NO
F-20001F,PARACETAMOL 1000MG COMPRIMIDOS,PARACETAMOL,COMPRIMIDO,1000 MG,LABORATORIO CHILE S.A.,ORAL,NO
F-20002,ADVIL 200MG CAPSULA BLANDA,IBUPROFENO,CAPSULA,200 MG,PFIZER INC.,ORAL,NO
F-20002B,IBUPROFENO 400MG COMPRIMIDOS,IBUPROFENO,COMPRIMIDO,400 MG,LABORATORIO CHILE S.A.,ORAL,NO
F-20002C,NUROFEN 400MG COMPRIMIDOS,IBUPROFENO,COMPRIMIDO,400 MG,RECKITT,ORAL,NO
F-20003,AMOXICILINA 500MG CAPSULA,AMOXICILINA,CAPSULA,500 MG,LABORATORIO BETA,ORAL,SI
F-20004,LEVOTIROXINA 50MCG COMPRIMIDO,LEVOTIROXINA SODICA,COMPRIMIDO,50 MCG,MERCK S.A.,ORAL,SI
F-20005,JARABE AMOXICILINA 250MG/5ML,AMOXICILINA,SUSPENSION,250 MG/5 ML,LABORATORIO BETA,ORAL,SI
F-20006,LOSARTAN 50MG COMPRIMIDO,LOSARTAN POTASICO,COMPRIMIDO,50 MG,LABORATORIO CHILE S.A.,ORAL,SI
