Registro;Producto;Titular
F-18910/11;BRILINTA COMPRIMIDOS RECUBIERTOS 90 mg ;Astrazeneca S.A.
F-19457/12;ZINFORO POLVO PARA SOLUCIÓN CONCENTRADA PARA INFUSIÓN  600 mg;Astrazeneca S.A.
F-17179/08;XARELTO COMPRIMIDOS RECUBIERTOS 10 mg;Bayer S.A.
F-17447/09;PRADAXA CÁPSULAS 75 mg;Boehringer Ingelheim Ltda.
F-17448/09;PRADAXA CÁPSULAS 110 mg;Boehringer Ingelheim Ltda.
F-18886/11;TRAYENTA COMPRIMIDOS RECUBIERTOS 5 mg.;Boehringer Ingelheim Ltda.
B-1982/12;ORENCIA POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE 250 mg;Bristol - Myers Squibb De Chile
F-16023/12;SPRYCEL COMPRIMIDOS RECUBIERTOS 70 mg;Bristol - Myers Squibb De Chile
F-16957/08;IXEMPRA POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE 15 mg CON DILUYENTE;Bristol - Myers Squibb De Chile
F-16958/08;IXEMPRA POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE 45 mg CON DILUYENTE;Bristol - Myers Squibb De Chile
F-17851/09;ONGLYZA COMPRIMIDOS RECUBIERTOS 2,5 mg;Bristol - Myers Squibb De Chile
F-17852/09;ONGLYZA COMPRIMIDOS RECUBIERTOS 5 mg;Bristol - Myers Squibb De Chile
F-17844/09;EFFIENT COMPRIMIDOS RECUBIERTOS 5 mg;Eli Lilly Interamerica Inc. Y Cia. Ltda.
F-17845/09;EFFIENT COMPRIMIDOS RECUBIERTOS 10 mg;Eli Lilly Interamerica Inc. Y Cia. Ltda.
F-19020/11;BILIDREN COMPRIMIDOS 20 mg;Faes Farma Chile, Salud Y Nutrición Ltda.
F-17194/08;CELSENTRI COMPRIMIDOS RECUBIERTOS 150 mg;Glaxosmithkline Chile Farmacéutica Ltda.
F-17195/08;CELSENTRI COMPRIMIDOS RECUBIERTOS 300 mg;Glaxosmithkline Chile Farmacéutica Ltda.
F-17797/09;REVOLADE COMPRIMIDOS RECUBIERTOS 25 mg;Glaxosmithkline Chile Farmacéutica Ltda.
F-17798/09;REVOLADE COMPRIMIDOS RECUBIERTOS 50 mg;Glaxosmithkline Chile Farmacéutica Ltda.
F-18018/10;VOTRIENT COMPRIMIDOS RECUBIERTOS 200 mg;Glaxosmithkline Chile Farmacéutica Ltda.
F-18019/10;VOTRIENT COMPRIMIDOS RECUBIERTOS 400 mg;Glaxosmithkline Chile Farmacéutica Ltda.
